# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars1
# Data supplier: Cristóbal García / AstroHenares
# Location name: Coslada/Madrid/Spain - Laboratorio de Cristóbal
# Position: 40.424604, -3.558091, 626.0
# Local timezone: Europe/Madrid
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: UV/IR-cut
# Measurement direction per channel: 0.0, 0.0
# Field of view: 17.0
# Number of fields per line: 7
# TESS MAC address: 18:FE:34:CF:E9:5A
# TESS firmware version: 1.0
# TESS cover offset value: 0.0
# TESS zero point: 20.38
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2
# END OF HEADER
2016-05-17T20:56:28.000;2016-05-17T22:56:28.000;19.2;-10.4;8.720;18.03;20.38
2016-05-17T20:57:02.000;2016-05-17T22:57:02.000;19.2;-10.3;8.690;18.03;20.38
2016-05-17T20:59:03.000;2016-05-17T22:59:03.000;19.1;-10.4;8.650;18.04;20.38
2016-05-17T21:01:03.000;2016-05-17T23:01:03.000;19.1;-10.3;8.610;18.04;20.38
2016-05-17T21:01:44.000;2016-05-17T23:01:44.000;19.0;-10.4;8.510;18.05;20.38
2016-05-17T21:01:57.000;2016-05-17T23:01:57.000;19.0;-10.4;8.490;18.06;20.38
2016-05-17T21:02:13.000;2016-05-17T23:02:13.000;19.0;-10.4;8.490;18.06;20.38
2016-05-17T21:02:27.000;2016-05-17T23:02:27.000;19.0;-10.3;8.490;18.06;20.38
2016-05-17T21:06:14.000;2016-05-17T23:06:14.000;19.1;-10.5;8.280;18.09;20.38
2016-05-17T21:12:50.000;2016-05-17T23:12:50.000;19.2;-10.6;8.190;18.10;20.38
2016-05-17T21:13:13.000;2016-05-17T23:13:13.000;19.2;-10.6;8.240;18.09;20.38
2016-05-17T21:13:27.000;2016-05-17T23:13:27.000;19.2;-10.6;8.190;18.10;20.38
2016-05-17T21:14:01.000;2016-05-17T23:14:01.000;19.2;-10.7;8.210;18.09;20.38
2016-05-17T21:14:12.000;2016-05-17T23:14:12.000;19.2;-10.7;8.210;18.09;20.38
2016-05-17T21:14:24.000;2016-05-17T23:14:24.000;19.2;-10.7;8.200;18.10;20.38
2016-05-17T21:14:38.000;2016-05-17T23:14:38.000;19.2;-10.6;8.170;18.10;20.38
2016-05-17T21:16:15.000;2016-05-17T23:16:15.000;19.2;-10.6;8.180;18.10;20.38
2016-05-17T21:16:35.000;2016-05-17T23:16:35.000;19.2;-10.7;8.140;18.10;20.38
2016-05-17T21:16:48.000;2016-05-17T23:16:48.000;19.2;-10.6;8.090;18.11;20.38
2016-05-17T21:17:05.000;2016-05-17T23:17:05.000;19.2;-10.7;8.110;18.11;20.38
2016-05-17T21:17:18.000;2016-05-17T23:17:18.000;19.2;-10.6;8.140;18.10;20.38
2016-05-17T21:20:55.000;2016-05-17T23:20:55.000;19.2;-10.9;8.110;18.11;20.38
2016-05-17T21:21:11.000;2016-05-17T23:21:11.000;19.1;-10.9;8.080;18.11;20.38
2016-05-17T21:21:26.000;2016-05-17T23:21:26.000;19.1;-10.8;8.070;18.11;20.38
2016-05-17T21:21:42.000;2016-05-17T23:21:42.000;19.1;-10.8;8.070;18.11;20.38
2016-05-17T21:21:57.000;2016-05-17T23:21:57.000;19.1;-10.8;8.120;18.11;20.38
2016-05-17T21:22:12.000;2016-05-17T23:22:12.000;19.1;-10.8;8.110;18.11;20.38
2016-05-17T21:22:30.000;2016-05-17T23:22:30.000;19.1;-10.9;8.120;18.11;20.38
2016-05-17T21:22:45.000;2016-05-17T23:22:45.000;19.1;-10.8;8.070;18.11;20.38
2016-05-17T21:23:00.000;2016-05-17T23:23:00.000;19.1;-10.8;8.090;18.11;20.38
2016-05-17T21:23:15.000;2016-05-17T23:23:15.000;19.1;-10.7;8.070;18.11;20.38
2016-05-17T21:23:29.000;2016-05-17T23:23:29.000;19.1;-10.7;8.080;18.11;20.38
2016-05-17T21:23:43.000;2016-05-17T23:23:43.000;19.1;-10.7;8.160;18.10;20.38
2016-05-17T21:23:57.000;2016-05-17T23:23:57.000;19.1;-10.7;8.150;18.10;20.38
2016-05-17T21:24:11.000;2016-05-17T23:24:11.000;19.1;-10.7;8.120;18.11;20.38
2016-05-17T21:24:24.000;2016-05-17T23:24:24.000;19.1;-10.7;8.110;18.11;20.38
2016-05-17T21:24:40.000;2016-05-17T23:24:40.000;19.1;-10.7;8.110;18.11;20.38
2016-05-17T21:24:53.000;2016-05-17T23:24:53.000;19.1;-10.6;8.170;18.10;20.38
2016-05-17T21:25:06.000;2016-05-17T23:25:06.000;19.1;-10.6;8.140;18.10;20.38
2016-05-17T21:25:20.000;2016-05-17T23:25:20.000;19.1;-10.6;8.130;18.10;20.38
2016-05-17T21:25:34.000;2016-05-17T23:25:34.000;19.1;-10.7;8.060;18.11;20.38
2016-05-17T21:25:47.000;2016-05-17T23:25:47.000;19.1;-10.6;8.080;18.11;20.38
2016-05-17T21:26:01.000;2016-05-17T23:26:01.000;19.1;-10.5;8.180;18.10;20.38
2016-05-17T21:26:14.000;2016-05-17T23:26:14.000;19.1;-10.6;8.050;18.12;20.38
2016-05-17T21:26:28.000;2016-05-17T23:26:28.000;19.1;-10.6;8.070;18.11;20.38
2016-05-17T21:26:41.000;2016-05-17T23:26:41.000;19.1;-10.6;8.040;18.12;20.38
2016-05-17T21:26:55.000;2016-05-17T23:26:55.000;19.1;-10.4;8.090;18.11;20.38
2016-05-17T21:27:12.000;2016-05-17T23:27:12.000;19.1;-10.4;8.070;18.11;20.38
2016-05-17T21:27:28.000;2016-05-17T23:27:28.000;19.1;-10.3;8.090;18.11;20.38
2016-05-17T21:27:43.000;2016-05-17T23:27:43.000;19.1;-10.3;8.090;18.11;20.38
2016-05-17T21:28:05.000;2016-05-17T23:28:05.000;19.1;-10.3;8.120;18.11;20.38
2016-05-17T21:28:21.000;2016-05-17T23:28:21.000;19.1;-10.3;8.150;18.10;20.38
2016-05-17T21:28:38.000;2016-05-17T23:28:38.000;19.1;-10.3;8.140;18.10;20.38
2016-05-17T21:28:53.000;2016-05-17T23:28:53.000;19.1;-10.2;8.170;18.10;20.38
2016-05-17T21:29:07.000;2016-05-17T23:29:07.000;19.1;-10.2;8.190;18.10;20.38
2016-05-17T21:29:20.000;2016-05-17T23:29:20.000;19.1;-10.2;8.110;18.11;20.38
2016-05-17T21:29:34.000;2016-05-17T23:29:34.000;19.1;-10.1;8.160;18.10;20.38
2016-05-17T21:29:49.000;2016-05-17T23:29:49.000;19.1;-10.1;8.170;18.10;20.38
2016-05-17T21:30:03.000;2016-05-17T23:30:03.000;19.2;-10.2;8.180;18.10;20.38
2016-05-17T21:30:20.000;2016-05-17T23:30:20.000;19.2;-10.2;8.210;18.09;20.38
2016-05-17T21:30:39.000;2016-05-17T23:30:39.000;19.2;-10.2;8.170;18.10;20.38
2016-05-17T21:30:56.000;2016-05-17T23:30:56.000;19.2;-10.2;8.180;18.10;20.38
2016-05-17T21:31:21.000;2016-05-17T23:31:21.000;19.1;-10.1;8.160;18.10;20.38
2016-05-17T21:31:37.000;2016-05-17T23:31:37.000;19.1;-10.3;8.180;18.10;20.38
2016-05-17T21:31:52.000;2016-05-17T23:31:52.000;19.1;-10.4;8.170;18.10;20.38
2016-05-17T21:32:06.000;2016-05-17T23:32:06.000;19.1;-10.5;8.180;18.10;20.38
2016-05-17T21:32:20.000;2016-05-17T23:32:20.000;19.1;-10.5;8.180;18.10;20.38
2016-05-17T21:32:34.000;2016-05-17T23:32:34.000;19.0;-10.5;8.190;18.10;20.38
2016-05-17T21:32:47.000;2016-05-17T23:32:47.000;19.0;-10.4;8.210;18.09;20.38
2016-05-17T21:33:14.000;2016-05-17T23:33:14.000;18.9;-10.3;8.120;18.11;20.38
2016-05-17T21:33:27.000;2016-05-17T23:33:27.000;18.9;-10.2;8.220;18.09;20.38
2016-05-17T21:33:42.000;2016-05-17T23:33:42.000;18.9;-10.3;8.190;18.10;20.38
2016-05-17T21:33:56.000;2016-05-17T23:33:56.000;18.9;-10.3;8.150;18.10;20.38
2016-05-17T21:34:09.000;2016-05-17T23:34:09.000;18.9;-10.1;8.220;18.09;20.38
2016-05-17T21:34:23.000;2016-05-17T23:34:23.000;18.9;-10.0;8.240;18.09;20.38
2016-05-17T21:34:36.000;2016-05-17T23:34:36.000;18.9;-10.0;8.260;18.09;20.38
2016-05-17T21:34:50.000;2016-05-17T23:34:50.000;18.9;-10.0;8.220;18.09;20.38
2016-05-17T21:35:04.000;2016-05-17T23:35:04.000;18.8;-10.0;8.190;18.10;20.38
2016-05-17T21:35:18.000;2016-05-17T23:35:18.000;18.9;-9.9;8.250;18.09;20.38
2016-05-17T21:35:31.000;2016-05-17T23:35:31.000;18.9;-9.9;8.210;18.09;20.38
2016-05-17T21:35:50.000;2016-05-17T23:35:50.000;18.8;-9.9;8.240;18.09;20.38
2016-05-17T21:36:02.000;2016-05-17T23:36:02.000;18.9;-9.9;8.190;18.10;20.38
2016-05-17T21:36:16.000;2016-05-17T23:36:16.000;18.9;-9.9;8.180;18.10;20.38
2016-05-17T21:36:29.000;2016-05-17T23:36:29.000;18.9;-9.9;8.260;18.09;20.38
2016-05-17T21:36:44.000;2016-05-17T23:36:44.000;18.8;-10.0;8.250;18.09;20.38
2016-05-17T21:36:58.000;2016-05-17T23:36:58.000;18.8;-10.0;8.190;18.10;20.38
2016-05-17T21:37:43.000;2016-05-17T23:37:43.000;18.8;-10.1;8.220;18.09;20.38
2016-05-17T21:37:55.000;2016-05-17T23:37:55.000;18.8;-10.1;8.230;18.09;20.38
2016-05-17T21:38:07.000;2016-05-17T23:38:07.000;18.8;-10.1;8.230;18.09;20.38
2016-05-17T21:38:19.000;2016-05-17T23:38:19.000;18.8;-10.0;8.210;18.09;20.38
2016-05-17T21:40:45.000;2016-05-17T23:40:45.000;18.7;-10.0;8.110;18.15;20.38
2016-05-17T21:40:57.000;2016-05-17T23:40:57.000;18.7;-9.8;8.180;18.10;20.38
2016-05-17T21:41:11.000;2016-05-17T23:41:11.000;18.7;-9.8;8.060;18.11;20.38
2016-05-17T21:41:34.000;2016-05-17T23:41:34.000;18.7;-9.6;8.140;18.10;20.38
2016-05-17T21:42:18.000;2016-05-17T23:42:18.000;18.7;-9.8;8.080;18.11;20.38
2016-05-18T19:25:28.000;2016-05-18T21:25:28.000;21.8;-10.5;0.000;0.00;20.38
2016-05-18T19:25:40.000;2016-05-18T21:25:40.000;21.8;-10.5;0.000;0.00;20.38
2016-05-18T19:25:52.000;2016-05-18T21:25:52.000;21.8;-10.4;0.000;0.00;20.38
2016-05-18T19:26:53.000;2016-05-18T21:26:53.000;21.7;-10.5;0.000;0.00;20.38
2016-05-18T19:27:05.000;2016-05-18T21:27:05.000;21.7;-10.6;0.000;0.00;20.38
2016-05-18T19:27:17.000;2016-05-18T21:27:17.000;21.7;-10.5;0.000;0.00;20.38
2016-05-18T19:27:29.000;2016-05-18T21:27:29.000;21.8;-10.3;17991.330;2.32;20.38
2016-05-18T19:27:41.000;2016-05-18T21:27:41.000;21.8;-10.2;63866.110;8.37;20.38
2016-05-18T19:27:53.000;2016-05-18T21:27:53.000;21.8;-10.2;62479.000;8.39;20.38
2016-05-18T19:28:06.000;2016-05-18T21:28:06.000;21.8;-10.2;61080.530;8.42;20.38
2016-05-18T19:28:19.000;2016-05-18T21:28:19.000;21.8;-10.3;59713.220;8.44;20.38
2016-05-18T19:28:31.000;2016-05-18T21:28:31.000;21.7;-10.4;58407.000;8.46;20.38
2016-05-18T19:28:43.000;2016-05-18T21:28:43.000;21.7;-10.4;57118.780;8.49;20.38
2016-05-18T19:28:56.000;2016-05-18T21:28:56.000;21.7;-10.4;55779.600;8.51;20.38
2016-05-18T19:29:09.000;2016-05-18T21:29:09.000;21.7;-10.4;54443.780;8.54;20.38
2016-05-18T19:29:20.000;2016-05-18T21:29:20.000;21.7;-10.4;53197.110;8.57;20.38
2016-05-18T19:29:33.000;2016-05-18T21:29:33.000;21.7;-10.4;51993.330;8.59;20.38
2016-05-18T19:29:45.000;2016-05-18T21:29:45.000;21.7;-10.4;50803.450;8.62;20.38
2016-05-18T19:29:57.000;2016-05-18T21:29:57.000;21.7;-10.6;49617.000;8.64;20.38
2016-05-18T19:30:09.000;2016-05-18T21:30:09.000;21.7;-10.7;48474.220;8.67;20.38
2016-05-18T19:30:21.000;2016-05-18T21:30:21.000;21.6;-10.5;47350.670;8.69;20.38
2016-05-18T19:30:33.000;2016-05-18T21:30:33.000;21.6;-10.6;46251.000;8.72;20.38
2016-05-18T19:30:45.000;2016-05-18T21:30:45.000;21.6;-10.5;45161.780;8.74;20.38
2016-05-18T19:30:57.000;2016-05-18T21:30:57.000;21.6;-10.6;44101.330;8.77;20.38
2016-05-18T19:31:09.000;2016-05-18T21:31:09.000;21.6;-10.4;43058.780;8.79;20.38
2016-05-18T19:31:21.000;2016-05-18T21:31:21.000;21.6;-10.5;42018.110;8.82;20.38
2016-05-18T19:31:33.000;2016-05-18T21:31:33.000;21.6;-10.5;41013.890;8.85;20.38
2016-05-18T19:31:46.000;2016-05-18T21:31:46.000;21.6;-10.5;40030.550;8.87;20.38
2016-05-18T19:31:58.000;2016-05-18T21:31:58.000;21.6;-10.5;39055.110;8.90;20.38
2016-05-18T19:32:10.000;2016-05-18T21:32:10.000;21.6;-10.7;38109.220;8.93;20.38
2016-05-18T19:32:22.000;2016-05-18T21:32:22.000;21.6;-10.5;37192.330;8.95;20.38
2016-05-18T19:32:35.000;2016-05-18T21:32:35.000;21.6;-10.6;36281.330;8.98;20.38
2016-05-18T19:32:46.000;2016-05-18T21:32:46.000;21.6;-10.6;35373.780;9.01;20.38
2016-05-18T19:32:58.000;2016-05-18T21:32:58.000;21.6;-10.5;34491.220;9.04;20.38
2016-05-18T19:33:10.000;2016-05-18T21:33:10.000;21.6;-10.7;33637.670;9.06;20.38
2016-05-18T19:33:22.000;2016-05-18T21:33:22.000;21.6;-10.6;32788.110;9.09;20.38
2016-05-18T19:33:34.000;2016-05-18T21:33:34.000;21.6;-10.7;31941.890;9.12;20.38
2016-05-18T19:33:47.000;2016-05-18T21:33:47.000;21.5;-10.8;31115.450;9.15;20.38
2016-05-18T19:33:59.000;2016-05-18T21:33:59.000;21.5;-10.7;30305.890;9.18;20.38
2016-05-18T19:34:11.000;2016-05-18T21:34:11.000;21.5;-10.7;29513.110;9.20;20.38
2016-05-18T19:34:23.000;2016-05-18T21:34:23.000;21.5;-10.6;28747.220;9.23;20.38
2016-05-18T19:34:35.000;2016-05-18T21:34:35.000;21.5;-10.6;27997.110;9.26;20.38
2016-05-18T19:34:47.000;2016-05-18T21:34:47.000;21.5;-10.8;27249.330;9.29;20.38
2016-05-18T19:34:59.000;2016-05-18T21:34:59.000;21.5;-10.7;25118.730;9.70;20.38
2016-05-18T19:35:11.000;2016-05-18T21:35:11.000;21.5;-10.6;25809.110;9.35;20.38
2016-05-18T19:35:23.000;2016-05-18T21:35:23.000;21.4;-10.7;25123.450;9.38;20.38
2016-05-18T19:35:35.000;2016-05-18T21:35:35.000;21.4;-10.7;24435.780;9.41;20.38
2016-05-18T19:35:47.000;2016-05-18T21:35:47.000;21.4;-10.7;23765.450;9.44;20.38
2016-05-18T19:35:59.000;2016-05-18T21:35:59.000;21.4;-10.5;23110.000;9.47;20.38
2016-05-18T19:36:12.000;2016-05-18T21:36:12.000;21.5;-10.5;22467.670;9.50;20.38
2016-05-18T19:36:24.000;2016-05-18T21:36:24.000;21.4;-10.8;21843.890;9.53;20.38
